folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
1,2,1,11,5.8,1,3,1,5,1,5,3,3,5,3,4,3,4,3,2,1,4,5,5,5,4,4,5,2,3,4,5,4,5,4,5,2,3,4
2,2,0,11,5.9,1,4,1,5,2,4,4,3,3,3,1,1,1,1,3,3,4,5,5,5,4,4,5,1,5,4,5,4,5,3,3,3,4,3
3,1,0,14,6.2,4,4,4,3,3,3,4,3,3,3,5,1,1,1,3,2,3,3,5,3,5,5,4,3,3,3,5,1,4,4,3,1,1,3
4,1,0,11,4.9,2,4,3,5,1,1,4,3,2,3,3,5,2,3,5,1,4,5,5,5,4,4,4,4,4,5,4,4,5,4,5,4,3,4
5,2,0,12,,3,5,1,4,1,3,2,5,3,2,1,4,1,2,1,5,2,4,4,3,2,2,4,4,3,5,4,3,4,4,4,2,2,4
6,1,1,12,4.5,3,4,2,3,3,4,3,2,3,2,3,1,1,1,2,1,1,2,3,4,4,4,3,4,4,3,2,3,4,4,5,3,2,5
7,2,0,12,,3,4,3,4,3,1,5,1,1,1,3,1,3,2,1,2,3,3,3,3,2,1,4,1,3,3,2,3,3,4,2,2,5,3
8,2,1,12,6.3,2,4,1,5,1,5,3,5,5,4,4,5,3,4,3,3,4,4,5,4,4,4,5,5,5,3,5,3,5,5,5,4,4,5
9,1,1,14,5.9,4,4,3,3,3,3,4,3,3,3,3,2,3,1,3,1,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3
10,1,0,13,5.2,4,3,1,5,5,5,4,3,3,3,5,1,1,4,3,4,4,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3
11,2,1,11,5.9,2,4,3,1,1,4,3,3,3,4,5,1,1,3,1,1,5,5,1,3,5,3,5,5,3,1,5,5,5,3,1,2,2,5
12,2,0,13,5.6,3,3,2,4,1,4,3,3,3,3,2,4,2,1,1,1,2,3,1,4,1,3,3,1,3,3,3,3,3,3,3,3,2,2
13,2,1,12,6.8,2,5,1,5,1,3,3,4,5,4,3,4,4,3,5,3,4,4,4,5,4,4,5,4,4,3,5,5,5,3,5,2,3,3
14,2,0,11,6,1,4,1,5,3,4,5,3,4,4,5,3,1,3,3,2,5,4,4,5,4,4,4,5,4,4,5,5,4,3,3,2,5,5
15,2,0,11,5.6,2,5,1,5,1,5,1,2,4,5,5,5,1,1,1,5,4,3,2,5,3,4,2,2,2,4,4,1,4,4,2,2,5,1
16,2,0,12,5.8,2,4,1,5,2,5,5,3,2,3,4,3,1,1,3,1,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,3,4,4
17,1,0,12,6,2,4,1,3,3,4,5,3,5,3,4,1,2,1,4,1,1,1,3,4,3,4,3,3,2,3,1,4,3,3,4,3,5,1
18,1,1,11,5.3,2,4,5,4,1,5,1,3,3,3,4,3,2,1,3,1,5,4,5,5,4,4,4,5,4,4,5,5,5,5,5,3,4,4
19,2,0,10,5.7,1,4,1,5,1,3,5,4,3,4,4,2,2,4,5,1,5,4,4,5,4,4,4,1,4,5,5,4,5,5,5,3,4,5
20,2,0,13,5.1,3,4,2,5,3,5,3,3,4,4,5,1,3,3,3,4,4,5,5,3,4,4,5,5,3,4,3,4,5,5,4,3,4,3
21,1,0,11,4.9,1,4,1,5,1,4,4,4,3,5,4,3,4,3,3,1,3,4,4,1,4,5,4,4,1,2,5,2,5,4,4,3,3,4
22,1,0,12,5.7,3,2,3,2,3,1,5,1,1,1,2,2,1,2,4,2,1,4,3,4,3,2,3,1,3,1,2,3,5,5,3,4,1,1
23,2,0,12,5.5,3,4,3,4,2,4,4,3,3,3,3,3,3,3,4,2,3,3,3,3,3,2,3,3,5,2,4,3,4,4,3,3,3,4
24,2,0,12,6,3,5,1,5,2,5,3,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,2,0,11,5.4,2,3,3,3,4,2,5,5,3,3,5,1,1,2,3,1,5,1,3,3,4,4,3,5,5,4,5,3,5,4,5,5,5,4
26,2,0,10,,1,3,1,3,3,3,5,3,3,4,4,1,2,3,3,2,4,4,5,5,4,4,5,2,4,5,4,3,3,2,2,4,3,4
27,2,0,12,5.3,3,3,5,3,3,3,5,3,1,3,2,1,1,1,5,1,5,4,4,5,4,3,5,5,3,3,4,4,5,5,5,4,5,5
28,1,1,12,4.9,3,2,2,3,3,3,5,3,4,3,3,2,2,2,2,5,4,3,3,1,3,2,4,3,3,3,3,2,3,3,4,2,3,4
29,1,1,11,6,2,4,1,5,1,3,5,3,3,3,3,3,3,1,1,1,3,3,3,5,1,3,4,1,3,3,5,4,2,5,5,3,3,3
30,1,0,12,5.3,3,4,1,3,2,3,3,5,4,4,3,3,2,3,3,1,4,3,3,3,3,4,4,5,3,5,3,4,3,3,3,3,3,3
31,1,0,12,5.7,2,3,1,3,3,3,5,3,3,3,3,2,3,1,3,3,4,4,4,4,4,4,4,3,3,4,3,4,2,3,4,4,3,4
32,1,0,13,5.1,4,2,1,3,2,1,5,3,1,3,3,4,4,4,4,1,5,3,5,2,1,3,3,2,4,2,3,4,3,2,3,5,3,1
33,1,1,14,5.2,4,4,3,4,2,5,2,3,4,4,3,3,3,2,5,1,4,5,5,5,4,5,5,5,4,5,3,5,4,5,5,3,3,4
34,2,1,13,5.1,3,4,2,3,1,5,2,3,5,5,3,3,2,1,3,2,2,5,4,4,3,3,5,3,4,4,2,5,5,4,4,2,3,3
35,1,1,13,5,2,3,1,1,5,3,5,3,5,1,3,1,1,3,1,1,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5
36,1,0,12,5.6,3,5,2,5,1,3,3,3,4,3,2,2,1,1,3,1,1,2,1,5,5,4,3,3,2,3,3,3,3,2,1,1,1,2
37,2,1,12,6.3,2,4,1,5,1,5,3,3,3,3,4,3,1,3,3,1,4,4,3,5,4,5,5,3,5,4,5,4,5,5,5,4,3,3
38,1,1,13,,4,3,3,3,1,4,3,3,4,4,5,5,3,1,5,2,3,3,5,5,3,3,4,1,5,4,1,4,4,5,4,3,4,4
39,2,0,12,6.1,2,3,5,3,4,3,4,3,2,3,3,1,3,2,1,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,3,3,3
40,1,1,13,4.3,3,4,2,3,2,3,1,3,5,4,5,3,2,3,5,3,5,3,3,4,4,3,3,3,3,5,4,3,4,3,2,4,3,3
41,1,1,11,6.5,2,4,1,5,1,4,3,4,4,4,3,3,1,1,5,1,5,5,5,5,5,5,4,3,5,5,4,5,5,5,5,2,3,1
42,2,1,10,6.3,1,4,1,5,1,5,3,3,1,4,4,5,3,1,4,1,4,5,4,5,5,5,4,4,5,5,2,4,5,4,4,2,3,4
43,2,1,13,,4,4,2,4,1,3,3,3,2,4,5,5,2,1,3,1,4,5,5,5,4,3,3,3,5,3,4,5,5,5,5,3,2,3
44,1,0,11,4.8,1,2,2,3,2,1,5,1,1,2,1,2,1,3,2,3,3,5,1,2,2,3,2,3,1,5,2,2,5,3,3,2,2,4
45,1,0,13,5.3,4,3,3,4,1,3,3,3,3,4,1,2,3,1,2,2,4,2,3,4,3,4,4,4,3,4,3,3,3,3,4,3,3,3
46,1,0,13,5.9,4,4,3,4,2,4,4,3,3,3,3,2,2,1,2,1,4,4,4,4,4,3,4,3,4,3,3,2,4,5,4,3,3,4
47,1,0,12,5.4,3,4,3,5,2,3,3,2,3,3,2,3,3,1,3,2,3,3,3,4,4,2,3,3,3,4,3,4,4,3,3,3,2,3
48,1,0,11,5.5,1,4,2,5,2,4,4,3,4,5,3,3,2,1,2,4,4,3,5,1,5,4,4,4,3,4,4,5,5,3,5,4,4,4
49,1,1,13,5.1,3,3,2,2,2,2,3,3,3,3,2,2,1,2,2,1,3,3,2,5,2,4,4,3,2,4,3,2,3,3,3,3,2,3
50,2,1,15,4.6,4,3,3,3,1,5,1,3,5,3,5,3,3,1,3,1,4,4,5,5,3,4,5,4,4,4,4,4,4,4,5,4,4,4
51,1,0,12,5.2,2,4,3,5,3,2,5,1,1,2,3,1,2,1,1,1,4,3,4,5,5,4,4,3,4,5,3,3,5,5,5,5,4,5
52,2,0,14,4.9,4,5,3,3,2,5,5,3,3,3,4,4,,1,3,2,3,3,3,4,3,4,3,3,3,2,1,4,3,2,3,4,2,4
53,2,1,13,5.5,4,5,5,5,1,5,1,5,5,5,5,3,3,2,5,5,1,1,5,5,1,5,1,5,1,5,3,3,3,3,1,5,3,1
54,2,1,13,6.5,4,3,2,4,1,3,5,2,1,2,3,1,1,1,3,1,3,4,4,5,5,3,4,1,2,3,3,1,3,4,4,1,1,4
55,2,1,10,6.3,1,5,1,5,1,4,4,3,2,4,4,1,1,2,1,1,4,5,4,4,4,4,4,3,3,4,3,3,3,5,5,3,3,4
56,1,0,12,5,1,2,3,3,2,5,3,3,3,1,1,2,3,2,3,3,2,1,1,1,1,1,3,1,2,1,3,3,4,1,1,2,1,4
57,1,0,13,5,2,3,2,3,4,1,3,3,3,2,2,1,1,3,3,1,4,4,3,5,3,5,3,5,1,2,1,1,5,5,5,5,2,5
58,1,1,12,5.5,3,4,2,5,1,4,3,4,4,3,3,3,3,3,3,4,3,4,3,4,4,4,3,3,5,4,4,3,5,3,5,4,5,5
59,2,0,2,5.7,2,4,2,5,1,3,3,3,4,3,3,1,2,3,4,2,4,3,1,2,2,3,2,1,4,3,3,5,4,3,2,3,1,4
60,1,0,11,5.5,2,3,1,3,1,4,5,3,1,3,1,2,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5
61,2,0,12,6.2,3,4,1,4,3,5,3,3,3,5,5,4,3,1,2,1,4,2,4,4,4,3,3,4,4,4,5,3,4,5,3,3,1,4
62,1,0,12,5.6,3,3,2,4,1,3,5,3,4,3,3,4,1,2,4,2,1,1,3,4,3,5,3,3,3,3,4,5,3,3,3,3,3,5
63,1,0,12,4.9,1,3,4,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,3,3,2,2,2,2,2,1,2,3,3,2,3
64,1,1,12,6.2,3,5,1,5,1,5,3,3,3,5,3,3,1,1,3,1,3,5,5,5,5,5,5,5,3,3,5,3,5,5,5,5,5,5
65,1,1,15,5.1,2,3,3,4,2,5,1,2,5,3,3,1,1,3,4,3,4,2,5,5,2,4,5,4,4,2,2,3,4,4,4,2,4,4
66,1,0,11,5.7,2,4,1,5,1,5,1,4,5,5,4,5,4,3,3,3,5,5,5,5,5,5,5,5,3,5,5,5,3,1,5,5,3,5
67,1,1,11,5,2,5,1,5,1,5,1,5,4,5,5,3,4,2,5,3,4,5,5,5,5,4,5,3,4,5,4,5,3,5,5,5,5,5
68,1,1,11,5.8,2,3,3,4,2,3,3,3,3,3,3,3,4,3,3,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,3,1,2,1
69,1,1,14,4.5,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5
70,2,1,11,5.8,2,3,1,5,1,5,3,5,4,3,1,1,4,1,1,1,2,3,5,5,5,5,3,5,4,3,5,5,5,5,4,1,5,5
71,1,0,14,5,4,4,3,3,1,5,3,2,3,3,5,1,1,1,3,1,3,4,5,5,3,2,3,3,4,3,3,3,4,4,5,4,4,4
72,1,0,11,6,2,5,4,4,3,5,3,4,5,5,4,4,3,3,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,2,5,5,4,4
73,2,0,12,5.9,3,4,3,5,2,5,3,4,5,4,3,1,4,4,4,4,4,4,3,4,2,4,4,2,5,4,5,4,5,5,5,4,4,3
